,0
0,[CoH2]
1,[=17OH1+1]
2,[=PH1]
3,[OH1-1]
4,[=PH0]
5,[O+1]
6,[18OH2+1]
7,[37ClH2+1]
8,[=Ring1]
9,[/30Si]
10,[OH1+1]
11,[Cm]
12,[Os+4]
13,[AlH1]
14,[=Hf]
15,[=Cd]
16,[=13C+1]
17,[/13C]
18,[Cu]
19,[36SH2+1]
20,[=29Si+1]
21,[Fe+2]
22,[=Ring2]
23,[Os]
24,[=13CH2]
25,[=N+1]
26,[Th]
27,[=O]
28,[#29Si-1]
29,[17OH1+1]
30,[Pu]
31,[AlH3]
32,[13CH4+1]
33,[Dy+3]
34,[#Nd]
35,[Br]
36,[Si-1]
37,[CH4+1]
38,[30Si]
39,[Bk]
40,[=AlH1]
41,[15NH3+1]
42,[P]
43,[N@@+1]
44,[CH1-1]
45,[33SH1+1]
46,[33SH1]
47,[SiH3-1]
48,[=29SiH1+1]
49,[Zn+1]
50,[=C]
51,[Yb+3]
52,[25Mg]
53,[C-1]
54,[#Eu]
55,[\13C]
56,[36SH1]
57,[15N]
58,[PbH4]
59,[B-1]
60,[Pm]
61,[30SiH2]
62,[#N]
63,[2H-1]
64,[#La]
65,[S@@]
66,[18O-1]
67,[#Yb]
68,[13CH2]
69,[13CH3+1]
70,[=Ru]
71,[PoH2]
72,[SiH1+1]
73,[Rh]
74,[30Si+1]
75,[=GeH2]
76,[18OH2]
77,[26Mg+1]
78,[30Si-1]
79,[/29Si]
80,[=Tc+3]
81,[BH4-1]
82,[Rn]
83,[Se]
84,[=36S+1]
85,[=La]
86,[#Fe]
87,[\C@@]
88,[=15N-1]
89,[Pb]
90,[SiH2]
91,[\B]
92,[Cr+4]
93,[34SH2]
94,[#15NH1+1]
95,[SH1]
96,[Cr+3]
97,[/C@]
98,[/2H]
99,[H]
100,[Rh+3]
101,[AsH2]
102,[B]
103,[=Os+2]
104,[O]
105,[=Ge]
106,[#13C]
107,[Md]
108,[=Si-1]
109,[=18O]
110,[TlH3]
111,[15N+1]
112,[F]
113,[BH3-1]
114,[29SiH2+1]
115,[=Pb]
116,[\C@H1]
117,[Te]
118,[30SiH2+1]
119,[PbH1]
120,[Tl]
121,[36S-1]
122,[33S-1]
123,[PH0]
124,[/13CH2]
125,[CH1+1]
126,[37ClH1]
127,[\S@@]
128,[TeH2]
129,[=Yb]
130,[Cr+6]
131,[=N]
132,[\13CH2]
133,[\O-1]
134,[=13CH1-1]
135,[Fe]
136,[Branch3]
137,[#Branch1]
138,[=NH2+1]
139,[Pt+4]
140,[=Os]
141,[17OH2+1]
142,[=Fe+1]
143,[PbH2]
144,[NH1]
145,[#Er]
146,[Ne]
147,[N-1]
148,[\S]
149,[=SeH1]
150,[Ga]
151,[S]
152,[37Cl+1]
153,[=Ca]
154,[-\Ring1]
155,[/C@H1]
156,[=29SiH1]
157,[=Y]
158,[/O-1]
159,[FeH2]
160,[Th+4]
161,[33S+1]
162,[#C+1]
163,[=CH0]
164,[Mg]
165,[Lu]
166,[=P-1]
167,[Fe+1]
168,[Pr+3]
169,[#30Si-1]
170,[36S]
171,[26Mg]
172,[OsH1]
173,[Gd+3]
174,[13C-1]
175,[SeH1]
176,[WH2]
177,[Np]
178,[34SH1]
179,[=SnH1]
180,[=Ba]
181,[Na]
182,[\NH1+1]
183,[#29Si+1]
184,[=Tc+1]
185,[=30SiH1+1]
186,[SH3+1]
187,[Ca+2]
188,[SH1+1]
189,[Cr]
190,[29SiH1+1]
191,[#29Si]
192,[Cs+1]
193,[NiH1]
194,[No]
195,[=N-1]
196,[18OH3+1]
197,[W]
198,[PH2]
199,[15NH1+1]
200,[36SH2]
201,[=30SiH2]
202,[Al]
203,[29SiH4+1]
204,[InH1]
205,[GeH3]
206,[OH2+1]
207,[=13CH1]
208,[\NH1]
209,[C@@]
210,[OH0]
211,[=Eu]
212,[30SiH1]
213,[C@@H1]
214,[18OH1+1]
215,[=17O+1]
216,[Cf]
217,[Cr+5]
218,[Pd+2]
219,[\C@@H1]
220,[13CH1+1]
221,[=Fe]
222,[=Nb]
223,[#Si-1]
224,[#Nb]
225,[/N+1]
226,[SnH2]
227,[Pd]
228,[AsH1]
229,[Si+1]
230,[=Si+1]
231,[AlH2]
232,[Cd]
233,[=30SiH1]
234,[Gd]
235,[=Cl+1]
236,[=SbH1]
237,[=30Si]
238,[17O]
239,[Sr+2]
240,[29Si-1]
241,[29SiH5+1]
242,[Dy]
243,[Pt+1]
244,[#Si]
245,[=15NH1]
246,[BH1-1]
247,[S+1]
248,[33SH2+1]
249,[=34S]
250,[IH2+1]
251,[Tb+3]
252,[#Lu]
253,[=30Si+1]
254,[Eu+2]
255,[#18O+1]
256,[34S]
257,[C@H1]
258,[29Si]
259,[N@+1]
260,[15N-1]
261,[#Ti]
262,[GeH2]
263,[Cu+1]
264,[18O]
265,[BH2-1]
266,[TlH1]
267,[IH2-1]
268,[36SH1+1]
269,[CH0]
270,[Cr+2]
271,[SiH2+1]
272,[17O-1]
273,[ClH0]
274,[-/Ring2]
275,[OH1]
276,[/CH1]
277,[#N+1]
278,[FH0]
279,[Fe+3]
280,[PH2-1]
281,[=Th]
282,[30SiH4+1]
283,[I]
284,[FH1+1]
285,[SnH1]
286,[30SiH1+1]
287,[=Ir]
288,[17OH1-1]
289,[34SH1+1]
290,[=Ti]
291,[Ring2]
292,[29SiH4]
293,[CH3+1]
294,[Pb+2]
295,[BiH1]
296,[17O+1]
297,[CuH1]
298,[-/Ring1]
299,[/C@@]
300,[37ClH1+1]
301,[34S+1]
302,[SnH2+1]
303,[/C]
304,[=Pd]
305,[#29SiH1]
306,[Mg+2]
307,[SH2+1]
308,[NH2+1]
309,[He+1]
310,[PH1]
311,[SiH3]
312,[#17O+1]
313,[Eu]
314,[=FeH1]
315,[=S@+1]
316,[Es]
317,[=S@@]
318,[Am]
319,[#Si+1]
320,[#30Si+1]
321,[/C@@H1]
322,[#SH1]
323,[/OH0]
324,[Ac]
325,[N]
326,[SH0]
327,[Ge]
328,[#NH1+1]
329,[=F+1]
330,[CH2-1]
331,[54Fe]
332,[Sm+3]
333,[SeH2]
334,[He]
335,[2H]
336,[=Cr]
337,[13CH3]
338,[13CH5+1]
339,[=13CH1+1]
340,[=Mg]
341,[SiH3+1]
342,[NH1-1]
343,[Er]
344,[13CH2+1]
345,[Ru+1]
346,[\2H]
347,[=Pt]
348,[#Y]
349,[=33S+1]
350,[#Ga]
351,[S-1]
352,[C+1]
353,[Zn+2]
354,[=SnH2]
355,[Y]
356,[Cu+2]
357,[Na+1]
358,[NH2]
359,[#Gd]
360,[29SiH3]
361,[=Ga]
362,[#Sc]
363,[30SiH3]
364,[AlH1+2]
365,[S-2]
366,[Branch2]
367,[PH3+1]
368,[34SH2+1]
369,[#P]
370,[Pr]
371,[NH4+1]
372,[Y+3]
373,[=29SiH2]
374,[unk]
375,[=NH0]
376,[#C]
377,[/N]
378,[CH3]
379,[36SH3+1]
380,[MoH2]
381,[18OH1-1]
382,[36Ar]
383,[/Si]
384,[Nd]
385,[Ti+4]
386,[#CH0]
387,[AtH1]
388,[#SiH1]
389,[#Branch2]
390,[=CH1+1]
391,[O-1]
392,[SbH3]
393,[SbH1]
394,[I+3]
395,[#13CH1]
396,[29Si+1]
397,[NH0]
398,[C]
399,[=15N]
400,[InH3]
401,[13C]
402,[SnH3]
403,[=29Si-1]
404,[=33S]
405,[=SiH1]
406,[=17O]
407,[CH2]
408,[17OH1]
409,[Kr]
410,[Zn]
411,[#S]
412,[=SH1]
413,[#13C-1]
414,[29SiH3+1]
415,[=CH1-1]
416,[SnH4+2]
417,[Ir+3]
418,[18OH1]
419,[TaH2]
420,[#C-1]
421,[57Fe+1]
422,[W+1]
423,[#15N]
424,[Branch1]
425,[F+1]
426,[NH1+1]
427,[15NH4+1]
428,[SbH2]
429,[Si]
430,[Hf]
431,[=OH1+1]
432,[Rh+2]
433,[GeH4]
434,[N+1]
435,[=O+1]
436,[GeH1]
437,[Fm]
438,[=36S]
439,[HeH1+1]
440,[I+1]
441,[SiH5+1]
442,[PbH6+2]
443,[P-1]
444,[#Dy]
445,[O-2]
446,[=Rh]
447,[Lr]
448,[34SH3+1]
449,[Cl]
450,[=Branch1]
451,[/I]
452,[\29Si]
453,[GaH2]
454,[=13C-1]
455,[\S@]
456,[/S@]
457,[=NH1+1]
458,[=15N+1]
459,[S@@+1]
460,[38Ar]
461,[\C@]
462,[#30SiH1]
463,[=Ru+1]
464,[Tl+3]
465,[=34S+1]
466,[BiH3]
467,[=Tc+4]
468,[=CH1]
469,[#15N+1]
470,[21Ne]
471,[=18O+1]
472,[/NH1]
473,[I+2]
474,[25Mg+1]
475,[33SH2]
476,[BH2]
477,[15NH2]
478,[At]
479,[=SiH2]
480,[S@+1]
481,[/O]
482,[18O+1]
483,[PH2+1]
484,[Ti]
485,[H+1]
486,[CH1]
487,[Yb]
488,[TeH1]
489,[Sm]
490,[Tc]
491,[#33S+1]
492,[/B]
493,[57Fe]
494,[Ru+3]
495,[SiH4]
496,[=Si]
497,[/NH1+1]
498,[=Ring3]
499,[Nb]
500,[Tl+1]
501,[=Pr]
502,[#S+1]
503,[=Ti+2]
504,[Tb]
505,[Mg+1]
506,[HH1]
507,[/S@@]
508,[30SiH3+1]
509,[AgH1]
510,[#O+1]
511,[Ti+2]
512,[=Tc]
513,[=B]
514,[CH3-1]
515,[La]
516,[13CH2-1]
517,[34S-1]
518,[GaH3]
519,[Xe]
520,[=Zn]
521,[=S@]
522,[ClH1+1]
523,[RuH1]
524,[22Ne]
525,[Pa]
526,[FH2+1]
527,[33S]
528,[=PH2]
529,[17OH2]
530,[2H+1]
531,[30SiH5+1]
532,[58Fe+1]
533,[NH3+1]
534,[\N]
535,[Rb+1]
536,[#Ring1]
537,[PtH1]
538,[37Cl]
539,[ClH2+1]
540,[ReH1]
541,[SiH1]
542,[=Tc+5]
543,[=SiH1+1]
544,[\I]
545,[CH2+1]
546,[Ru]
547,[Pt]
548,[Ga+3]
549,[=AsH1]
550,[\O]
551,[=13C]
552,[Sc]
553,[58Fe]
554,[Ba+2]
555,[=W]
556,[Os+8]
557,[Ring3]
558,[#Tb]
559,[=S]
560,[Ring1]
561,[SnH4]
562,[/S]
563,[15NH1]
564,[#34S+1]
565,[Cd+2]
566,[15NH3]
567,[=B-1]
568,[36S+1]
569,[=30Si-1]
570,[Pd+1]
571,[13CH1-1]
572,[#W]
573,[#Pr]
574,[#36S+1]
575,[#30Si]
576,[=Branch2]
577,[CH5+1]
578,[17OH3+1]
579,[\Si]
580,[S@]
581,[H-1]
582,[29SiH2]
583,[Ar]
584,[Tc+4]
585,[I-1]
586,[\13CH3]
587,[C@]
588,[Cl+1]
589,[SnH6+3]
590,[Eu+3]
591,[=15NH2+1]
592,[\13CH1]
593,[Lu+3]
594,[SiH4+1]
595,[/13CH1]
596,[\30Si]
597,[=29Si]
598,[13CH4]
599,[AsH3]
600,[AlH4-1]
601,[InH2]
602,[#Cr]
603,[33SH3+1]
604,[13C+1]
605,[#Sm]
606,[=C-1]
607,[P+1]
608,[=Cu]
609,[=Sr]
610,[OH3+1]
611,[\C]
612,[Ir]
613,[#W+1]
614,[=P]
615,[NH2-1]
616,[=C+1]
617,[29SiH1]
618,[K+1]
619,[PH1+1]
620,[nop]
621,[\N+1]
622,[13CH1]
623,[=S+1]
624,[BiH2]
625,[Pt+2]
626,[15NH2+1]
627,[#B]
628,[=18OH1+1]
629,[La+3]
630,[54Fe+1]
631,[#13C+1]
632,[30SiH4]
633,[=37Cl+1]
